x,y,z,nx,ny,nz,u,v
-0.00094803,0.00000000,0.00875423,0.940082,-0.339365,-0.032828,0.000000,0.000000
0.09005680,0.25000000,0.03040600,0.940085,-0.339475,-0.031565,0.000000,0.050000
0.18106164,0.50000000,0.05205777,0.940087,-0.339591,-0.030236,0.000000,0.100000
0.27206648,0.75000000,0.07370954,0.940087,-0.339713,-0.028835,0.000000,0.150000
0.36307132,1.00000000,0.09536131,0.940085,-0.339840,-0.027355,0.000000,0.200000
0.45407616,1.25000000,0.11701308,0.940081,-0.339974,-0.025792,0.000000,0.250000
0.54508099,1.50000000,0.13866485,0.940074,-0.340115,-0.024136,0.000000,0.300000
0.63608583,1.75000000,0.16031662,0.940064,-0.340263,-0.022380,0.000000,0.350000
0.72709067,2.00000000,0.18196839,0.940050,-0.340420,-0.020514,0.000000,0.400000
0.81809551,2.25000000,0.20362016,0.940031,-0.340585,-0.018528,0.000000,0.450000
0.90910034,2.50000000,0.22527193,0.940007,-0.340760,-0.016410,0.000000,0.500000
1.00010518,2.75000000,0.24692370,0.939977,-0.340945,-0.014145,0.000000,0.550000
1.09111002,3.00000000,0.26857547,0.939939,-0.341141,-0.011719,0.000000,0.600000
1.18211486,3.25000000,0.29022724,0.939892,-0.341350,-0.009114,0.000000,0.650000
1.27311970,3.50000000,0.31187901,0.939835,-0.341572,-0.006309,0.000000,0.700000
1.36412453,3.75000000,0.33353078,0.939764,-0.341808,-0.003279,0.000000,0.750000
1.45512937,4.00000000,0.35518255,0.939678,-0.342061,0.000002,0.000000,0.800000
1.54613421,4.25000000,0.37683432,0.939572,-0.342331,0.003567,0.000000,0.850000
1.63713905,4.50000000,0.39848609,0.939444,-0.342621,0.007455,0.000000,0.900000
1.72814389,4.75000000,0.42013786,0.939287,-0.342933,0.011712,0.000000,0.950000
1.81914872,5.00000000,0.44178963,0.939094,-0.343268,0.016392,0.000000,1.000000
-0.00096596,0.00000000,0.00725920,0.939330,-0.342855,0.010507,0.001541,0.000000
0.09004128,0.25000000,0.02894837,0.939281,-0.342946,0.011767,0.001541,0.050000
0.18104853,0.50000000,0.05063755,0.939229,-0.343042,0.013093,0.001541,0.100000
0.27205577,0.75000000,0.07232672,0.939171,-0.343143,0.014491,0.001541,0.150000
0.36306301,1.00000000,0.09401589,0.939109,-0.343248,0.015967,0.001541,0.200000
0.45407026,1.25000000,0.11570507,0.939041,-0.343359,0.017527,0.001541,0.250000
0.54507750,1.50000000,0.13739424,0.938966,-0.343475,0.019179,0.001541,0.300000
0.63608474,1.75000000,0.15908341,0.938884,-0.343597,0.020930,0.001541,0.350000
0.72709198,2.00000000,0.18077259,0.938794,-0.343725,0.022791,0.001541,0.400000
0.81809923,2.25000000,0.20246176,0.938694,-0.343861,0.024772,0.001541,0.450000
0.90910647,2.50000000,0.22415093,0.938583,-0.344004,0.026885,0.001541,0.500000
1.00011371,2.75000000,0.24584011,0.938460,-0.344155,0.029143,0.001541,0.550000
1.09112095,3.00000000,0.26752928,0.938323,-0.344315,0.031562,0.001541,0.600000
1.18212820,3.25000000,0.28921845,0.938170,-0.344485,0.034160,0.001541,0.650000
1.27313544,3.50000000,0.31090763,0.937998,-0.344665,0.036957,0.001541,0.700000
1.36414268,3.75000000,0.33259680,0.937804,-0.344856,0.039976,0.001541,0.750000
1.45514992,4.00000000,0.35428597,0.937584,-0.345060,0.043247,0.001541,0.800000
1.54615717,4.25000000,0.37597515,0.937333,-0.345277,0.046800,0.001541,0.850000
1.63716441,4.50000000,0.39766432,0.937046,-0.345508,0.050675,0.001541,0.900000
1.72817165,4.75000000,0.41935349,0.936716,-0.345756,0.054917,0.001541,0.950000
1.81917890,5.00000000,0.44104267,0.936333,-0.346021,0.059579,0.001541,1.000000
-0.00060004,0.00000000,0.00285029,0.925425,-0.349613,0.146150,0.006156,0.000000
0.09040382,0.25000000,0.02465031,0.925216,-0.349645,0.147389,0.006156,0.050000
0.18140767,0.50000000,0.04645034,0.924995,-0.349678,0.148694,0.006156,0.100000
