x,y,z,nx,ny,nz,u,v
1.81914872,5.00000000,0.44178963,0.000000,0.000000,0.000000,0.000000,0.000000
1.81914872,5.00000000,0.44178963,0.000000,0.000000,0.000000,0.000000,0.250000
1.81914872,5.00000000,0.44178963,0.000000,0.000000,0.000000,0.000000,0.500000
1.81914872,5.00000000,0.44178963,0.000000,0.000000,0.000000,0.000000,0.750000
1.81914872,5.00000000,0.44178963,0.000000,0.000000,0.000000,0.000000,1.000000
1.81915247,5.00000000,0.44253855,-0.000000,1.000000,0.000000,0.001541,0.000000
1.81915907,5.00000000,0.44216458,0.000000,1.000000,0.000000,0.001541,0.250000
1.81916568,5.00000000,0.44179061,-0.000000,1.000000,-0.000000,0.001541,0.500000
1.81917229,5.00000000,0.44141664,0.000000,1.000000,0.000000,0.001541,0.750000
1.81917890,5.00000000,0.44104267,0.000000,1.000000,0.000000,0.001541,1.000000
1.81936073,5.00000000,0.44480352,-0.000000,1.000000,-0.000000,0.006156,0.000000
1.81938980,5.00000000,0.44331534,0.000000,1.000000,0.000000,0.006156,0.250000
1.81941886,5.00000000,0.44182716,-0.000000,1.000000,-0.000000,0.006156,0.500000
1.81944792,5.00000000,0.44033899,0.000000,1.000000,0.000000,0.006156,0.750000
1.81947698,5.00000000,0.43885081,-0.000000,1.000000,-0.000000,0.006156,1.000000
1.82033265,5.00000000,0.44857636,0.000000,1.000000,0.000000,0.013815,0.000000
1.82041900,5.00000000,0.44528729,0.000000,1.000000,0.000000,0.013815,0.250000
1.82050534,5.00000000,0.44199821,0.000000,1.000000,0.000000,0.013815,0.500000
1.82059169,5.00000000,0.43870914,-0.000000,1.000000,-0.000000,0.013815,0.750000
1.82067803,5.00000000,0.43542007,0.000000,1.000000,0.000000,0.013815,1.000000
1.82285680,5.00000000,0.45372990,0.000000,1.000000,0.000000,0.024472,0.000000
1.82306045,5.00000000,0.44809550,-0.000000,1.000000,-0.000000,0.024472,0.250000
1.82326411,5.00000000,0.44246111,-0.000000,1.000000,-0.000000,0.024472,0.500000
1.82346776,5.00000000,0.43682671,0.000000,1.000000,0.000000,0.024472,0.750000
1.82367141,5.00000000,0.43119232,0.000000,1.000000,0.000000,0.024472,1.000000
1.82765544,5.00000000,0.46007509,-0.000000,1.000000,-0.000000,0.038060,0.000000
1.82803188,5.00000000,0.45177249,-0.000000,1.000000,-0.000000,0.038060,0.250000
1.82840832,5.00000000,0.44346988,0.000000,1.000000,-0.000000,0.038060,0.500000
1.82878477,5.00000000,0.43516727,-0.000000,1.000000,-0.000000,0.038060,0.750000
1.82916121,5.00000000,0.42686466,0.000000,1.000000,-0.000000,0.038060,1.000000
1.83524081,5.00000000,0.46734855,-0.000000,1.000000,-0.000000,0.054497,0.000000
1.83581254,5.00000000,0.45625965,-0.000000,1.000000,-0.000000,0.054497,0.250000
1.83638427,5.00000000,0.44517075,-0.000000,1.000000,-0.000000,0.054497,0.500000
1.83695600,5.00000000,0.43408185,-0.000000,1.000000,-0.000000,0.054497,0.750000
1.83752773,5.00000000,0.42299295,-0.000000,1.000000,-0.000000,0.054497,1.000000
1.84604668,5.00000000,0.47524711,0.000000,1.000000,-0.000000,0.073680,0.000000
1.84675093,5.00000000,0.46134752,0.000000,1.000000,-0.000000,0.073680,0.250000
1.84745518,5.00000000,0.44744792,-0.000000,1.000000,-0.000000,0.073680,0.500000
