x,y,z,nx,ny,nz,u,v
-0.00094803,0.00000000,0.00875423,-0.940082,0.339365,0.032828,0.000000,0.000000
0.09005680,0.25000000,0.03040600,-0.940085,0.339475,0.031565,0.000000,0.050000
0.18106164,0.50000000,0.05205777,-0.940087,0.339591,0.030236,0.000000,0.100000
0.27206648,0.75000000,0.07370954,-0.940087,0.339713,0.028835,0.000000,0.150000
0.36307132,1.00000000,0.09536131,-0.940085,0.339840,0.027355,0.000000,0.200000
0.45407616,1.25000000,0.11701308,-0.940081,0.339974,0.025792,0.000000,0.250000
0.54508099,1.50000000,0.13866485,-0.940074,0.340115,0.024136,0.000000,0.300000
0.63608583,1.75000000,0.16031662,-0.940064,0.340263,0.022380,0.000000,0.350000
0.72709067,2.00000000,0.18196839,-0.940050,0.340420,0.020514,0.000000,0.400000
0.81809551,2.25000000,0.20362016,-0.940031,0.340585,0.018528,0.000000,0.450000
0.90910034,2.50000000,0.22527193,-0.940007,0.340760,0.016410,0.000000,0.500000
1.00010518,2.75000000,0.24692370,-0.939977,0.340945,0.014145,0.000000,0.550000
1.09111002,3.00000000,0.26857547,-0.939939,0.341141,0.011719,0.000000,0.600000
1.18211486,3.25000000,0.29022724,-0.939892,0.341350,0.009114,0.000000,0.650000
1.27311970,3.50000000,0.31187901,-0.939835,0.341572,0.006309,0.000000,0.700000
1.36412453,3.75000000,0.33353078,-0.939764,0.341808,0.003279,0.000000,0.750000
1.45512937,4.00000000,0.35518255,-0.939678,0.342061,-0.000002,0.000000,0.800000
1.54613421,4.25000000,0.37683432,-0.939572,0.342331,-0.003567,0.000000,0.850000
1.63713905,4.50000000,0.39848609,-0.939444,0.342621,-0.007455,0.000000,0.900000
1.72814389,4.75000000,0.42013786,-0.939287,0.342933,-0.011712,0.000000,0.950000
1.81914872,5.00000000,0.44178963,-0.939094,0.343268,-0.016392,0.000000,1.000000
-0.00086217,0.00000000,0.01024963,-0.939108,0.335365,0.074872,0.001541,0.000000
0.09013857,0.25000000,0.03186408,-0.939162,0.335494,0.073609,0.001541,0.050000
0.18113930,0.50000000,0.05347852,-0.939217,0.335629,0.072278,0.001541,0.100000
0.27214003,0.75000000,0.07509297,-0.939274,0.335771,0.070875,0.001541,0.150000
0.36314076,1.00000000,0.09670741,-0.939331,0.335919,0.069395,0.001541,0.200000
0.45414149,1.25000000,0.11832186,-0.939389,0.336076,0.067830,0.001541,0.250000
0.54514222,1.50000000,0.13993630,-0.939448,0.336241,0.066172,0.001541,0.300000
0.63614296,1.75000000,0.16155075,-0.939508,0.336415,0.064414,0.001541,0.350000
0.72714369,2.00000000,0.18316520,-0.939569,0.336598,0.062546,0.001541,0.400000
0.81814442,2.25000000,0.20477964,-0.939630,0.336792,0.060558,0.001541,0.450000
0.90914515,2.50000000,0.22639409,-0.939690,0.336998,0.058437,0.001541,0.500000
1.00014588,2.75000000,0.24800853,-0.939750,0.337216,0.056169,0.001541,0.550000
1.09114661,3.00000000,0.26962298,-0.939809,0.337447,0.053740,0.001541,0.600000
1.18214735,3.25000000,0.29123743,-0.939866,0.337693,0.051131,0.001541,0.650000
1.27314808,3.50000000,0.31285187,-0.939921,0.337956,0.048321,0.001541,0.700000
1.36414881,3.75000000,0.33446632,-0.939971,0.338237,0.045287,0.001541,0.750000
1.45514954,4.00000000,0.35608076,-0.940015,0.338537,0.042000,0.001541,0.800000
1.54615027,4.25000000,0.37769521,-0.940052,0.338859,0.038428,0.001541,0.850000
1.63715100,4.50000000,0.39930966,-0.940078,0.339206,0.034532,0.001541,0.900000
1.72815174,4.75000000,0.42092410,-0.940090,0.339579,0.030266,0.001541,0.950000
1.81915247,5.00000000,0.44253855,-0.940084,0.339982,0.025576,0.001541,1.000000
-0.00020912,0.00000000,0.01475157,-0.927080,0.320680,0.194129,0.006156,0.000000
0.09076937,0.25000000,0.03625417,-0.927280,0.320861,0.192872,0.006156,0.050000
0.18174786,0.50000000,0.05775676,-0.927489,0.321051,0.191549,0.006156,0.100000
