x,y,z,nx,ny,nz,u,v
-0.00094803,0.00000000,0.00875423,0.940082,-0.339365,-0.032828,0.000000,0.000000
0.09005680,0.25000000,0.03040600,0.940085,-0.339475,-0.031565,0.000000,0.050000
0.18106164,0.50000000,0.05205777,0.940087,-0.339591,-0.030236,0.000000,0.100000
0.27206648,0.75000000,0.07370954,0.940087,-0.339713,-0.028835,0.000000,0.150000
0.36307132,1.00000000,0.09536131,0.940085,-0.339840,-0.027355,0.000000,0.200000
0.45407616,1.25000000,0.11701308,0.940081,-0.339974,-0.025792,0.000000,0.250000
0.54508099,1.50000000,0.13866485,0.940074,-0.340115,-0.024136,0.000000,0.300000
0.63608583,1.75000000,0.16031662,0.940064,-0.340263,-0.022380,0.000000,0.350000
0.72709067,2.00000000,0.18196839,0.940050,-0.340420,-0.020514,0.000000,0.400000
0.81809551,2.25000000,0.20362016,0.940031,-0.340585,-0.018528,0.000000,0.450000
0.90910034,2.50000000,0.22527193,0.940007,-0.340760,-0.016410,0.000000,0.500000
1.00010518,2.75000000,0.24692370,0.939977,-0.340945,-0.014145,0.000000,0.550000
1.09111002,3.00000000,0.26857547,0.939939,-0.341141,-0.011719,0.000000,0.600000
1.18211486,3.25000000,0.29022724,0.939892,-0.341350,-0.009114,0.000000,0.650000
1.27311970,3.50000000,0.31187901,0.939835,-0.341572,-0.006309,0.000000,0.700000
1.36412453,3.75000000,0.33353078,0.939764,-0.341808,-0.003279,0.000000,0.750000
1.45512937,4.00000000,0.35518255,0.939678,-0.342061,0.000002,0.000000,0.800000
1.54613421,4.25000000,0.37683432,0.939572,-0.342331,0.003567,0.000000,0.850000
1.63713905,4.50000000,0.39848609,0.939444,-0.342621,0.007455,0.000000,0.900000
1.72814389,4.75000000,0.42013786,0.939287,-0.342933,0.011712,0.000000,0.950000
1.81914872,5.00000000,0.44178963,0.939094,-0.343268,0.016392,0.000000,1.000000
0.00731993,0.00000000,-0.01328586,0.716203,-0.315515,0.622498,0.025000,0.000000
0.09814662,0.25000000,0.00892849,0.715416,-0.315318,0.623501,0.025000,0.050000
0.18897331,0.50000000,0.03114283,0.714587,-0.315111,0.624557,0.025000,0.100000
0.27980001,0.75000000,0.05335718,0.713711,-0.314891,0.625668,0.025000,0.150000
0.37062670,1.00000000,0.07557152,0.712784,-0.314659,0.626840,0.025000,0.200000
0.46145339,1.25000000,0.09778587,0.711803,-0.314412,0.628078,0.025000,0.250000
0.55228009,1.50000000,0.12000021,0.710761,-0.314150,0.629387,0.025000,0.300000
0.64310678,1.75000000,0.14221456,0.709654,-0.313871,0.630774,0.025000,0.350000
0.73393347,2.00000000,0.16442890,0.708475,-0.313573,0.632246,0.025000,0.400000
0.82476016,2.25000000,0.18664325,0.707217,-0.313255,0.633810,0.025000,0.450000
0.91558686,2.50000000,0.20885759,0.705871,-0.312914,0.635477,0.025000,0.500000
1.00641355,2.75000000,0.23107194,0.704428,-0.312548,0.637256,0.025000,0.550000
1.09724024,3.00000000,0.25328628,0.702878,-0.312154,0.639158,0.025000,0.600000
1.18806693,3.25000000,0.27550063,0.701207,-0.311728,0.641197,0.025000,0.650000
1.27889363,3.50000000,0.29771497,0.699402,-0.311267,0.643389,0.025000,0.700000
1.36972032,3.75000000,0.31992931,0.697445,-0.310766,0.645752,0.025000,0.750000
1.46054701,4.00000000,0.34214366,0.695317,-0.310220,0.648304,0.025000,0.800000
1.55137371,4.25000000,0.36435800,0.692994,-0.309622,0.651072,0.025000,0.850000
1.64220040,4.50000000,0.38657235,0.690448,-0.308964,0.654081,0.025000,0.900000
1.73302709,4.75000000,0.40878669,0.687646,-0.308239,0.657367,0.025000,0.950000
1.82385378,5.00000000,0.43100104,0.684548,-0.307433,0.660968,0.025000,1.000000
0.02902747,0.00000000,-0.02856749,0.416931,-0.230179,0.879310,0.050000,0.000000
0.11933072,0.25000000,-0.00594218,0.415786,-0.229824,0.879945,0.050000,0.050000
0.20963398,0.50000000,0.01668313,0.414581,-0.229448,0.880611,0.050000,0.100000
