x,y,z,nx,ny,nz,u,v
-0.00094803,0.00000000,0.00875423,-0.940082,0.339365,0.032828,0.000000,0.000000
0.09005680,0.25000000,0.03040600,-0.940085,0.339475,0.031565,0.000000,0.050000
0.18106164,0.50000000,0.05205777,-0.940087,0.339591,0.030236,0.000000,0.100000
0.27206648,0.75000000,0.07370954,-0.940087,0.339713,0.028835,0.000000,0.150000
0.36307132,1.00000000,0.09536131,-0.940085,0.339840,0.027355,0.000000,0.200000
0.45407616,1.25000000,0.11701308,-0.940081,0.339974,0.025792,0.000000,0.250000
0.54508099,1.50000000,0.13866485,-0.940074,0.340115,0.024136,0.000000,0.300000
0.63608583,1.75000000,0.16031662,-0.940064,0.340263,0.022380,0.000000,0.350000
0.72709067,2.00000000,0.18196839,-0.940050,0.340420,0.020514,0.000000,0.400000
0.81809551,2.25000000,0.20362016,-0.940031,0.340585,0.018528,0.000000,0.450000
0.90910034,2.50000000,0.22527193,-0.940007,0.340760,0.016410,0.000000,0.500000
1.00010518,2.75000000,0.24692370,-0.939977,0.340945,0.014145,0.000000,0.550000
1.09111002,3.00000000,0.26857547,-0.939939,0.341141,0.011719,0.000000,0.600000
1.18211486,3.25000000,0.29022724,-0.939892,0.341350,0.009114,0.000000,0.650000
1.27311970,3.50000000,0.31187901,-0.939835,0.341572,0.006309,0.000000,0.700000
1.36412453,3.75000000,0.33353078,-0.939764,0.341808,0.003279,0.000000,0.750000
1.45512937,4.00000000,0.35518255,-0.939678,0.342061,-0.000002,0.000000,0.800000
1.54613421,4.25000000,0.37683432,-0.939572,0.342331,-0.003567,0.000000,0.850000
1.63713905,4.50000000,0.39848609,-0.939444,0.342621,-0.007455,0.000000,0.900000
1.72814389,4.75000000,0.42013786,-0.939287,0.342933,-0.011712,0.000000,0.950000
1.81914872,5.00000000,0.44178963,-0.939094,0.343268,-0.016392,0.000000,1.000000
0.00804653,0.00000000,0.03270037,-0.794043,0.241221,0.557950,0.025000,0.000000
0.09879487,0.25000000,0.05376443,-0.794721,0.241562,0.556836,0.025000,0.050000
0.18954320,0.50000000,0.07482850,-0.795434,0.241919,0.555661,0.025000,0.100000
0.28029154,0.75000000,0.09589256,-0.796184,0.242296,0.554422,0.025000,0.150000
0.37103987,1.00000000,0.11695663,-0.796973,0.242693,0.553114,0.025000,0.200000
0.46178821,1.25000000,0.13802069,-0.797805,0.243111,0.551729,0.025000,0.250000
0.55253654,1.50000000,0.15908476,-0.798683,0.243554,0.550261,0.025000,0.300000
0.64328488,1.75000000,0.18014882,-0.799612,0.244022,0.548702,0.025000,0.350000
0.73403321,2.00000000,0.20121289,-0.800595,0.244519,0.547045,0.025000,0.400000
0.82478154,2.25000000,0.22227695,-0.801638,0.245046,0.545278,0.025000,0.450000
0.91552988,2.50000000,0.24334101,-0.802747,0.245608,0.543392,0.025000,0.500000
1.00627821,2.75000000,0.26440508,-0.803927,0.246206,0.541373,0.025000,0.550000
1.09702655,3.00000000,0.28546914,-0.805186,0.246846,0.539206,0.025000,0.600000
1.18777488,3.25000000,0.30653321,-0.806531,0.247530,0.536876,0.025000,0.650000
1.27852322,3.50000000,0.32759727,-0.807973,0.248265,0.534363,0.025000,0.700000
1.36927155,3.75000000,0.34866134,-0.809521,0.249056,0.531645,0.025000,0.750000
1.46001988,4.00000000,0.36972540,-0.811188,0.249910,0.528695,0.025000,0.800000
1.55076822,4.25000000,0.39078946,-0.812988,0.250834,0.525484,0.025000,0.850000
1.64151655,4.50000000,0.41185353,-0.814937,0.251837,0.521974,0.025000,0.900000
1.73226489,4.75000000,0.43291759,-0.817053,0.252930,0.518122,0.025000,0.950000
1.82301322,5.00000000,0.45398166,-0.819361,0.254125,0.513876,0.025000,1.000000
0.02917801,0.00000000,0.05446886,-0.620052,0.160576,0.767952,0.050000,0.000000
0.11936885,0.25000000,0.07501561,-0.621038,0.161005,0.767065,0.050000,0.050000
0.20955969,0.50000000,0.09556237,-0.622075,0.161456,0.766130,0.050000,0.100000
